"Month","Timestamp","Day of Week","Hour of Day","Route ID","Direction","Route Type","Stop Order","Timepoint Stop ID","Timepoint Stop Name","Timepoint Stop Latitude","Timepoint Stop Longitude","Next Timepoint Stop ID","Next Timepoint Stop Name","Next Timepoint Stop Latitude","Next Timepoint Stop Longitude","Road Distance","Average Travel Time","Average Road Speed","Bus Trip Count"
"7","2023 Jul 01 05:00:00 PM","Saturday","17","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","4.38333","5.73536557822","6"
"7","2023 Jul 01 05:00:00 AM","Saturday","5","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","7.85556","6.61442341475","3"
"7","2023 Jul 01 09:00:00 AM","Saturday","9","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","3.51","7.16239316239","5"
"7","2023 Jul 01 01:00:00 PM","Saturday","13","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","7.826664","6.14054723698","5"
"7","2023 Jul 01 06:00:00 AM","Saturday","6","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","4.063332","6.1870405864","5"
"7","2023 Jul 01 09:00:00 AM","Saturday","9","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","6.036672","7.96134028816","5"
"7","2023 Jul 01 01:00:00 AM","Saturday","1","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","4.15002","6.05780213107","1"
"7","2023 Jul 01 10:00:00 AM","Saturday","10","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","3.20556","7.84262344177","6"
"7","2023 Jul 01 03:00:00 PM","Saturday","15","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","6.860004","7.00582681876","5"
"7","2023 Jul 01 03:00:00 AM","Saturday","3","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","4.45833","5.63888272066","2"
"7","2023 Jul 01 04:00:00 PM","Saturday","16","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","7.68","6.2578125","5"
"7","2023 Jul 01 02:00:00 PM","Saturday","14","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","6.93","6.93506493506","5"
"7","2023 Jul 01 11:00:00 PM","Saturday","23","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","4.17222","6.02556912147","3"
"7","2023 Jul 01 03:00:00 PM","Saturday","15","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","3.87222","6.49239970869","6"
"7","2023 Jul 01 07:00:00 AM","Saturday","7","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","2.870004","8.75956967307","5"
"7","2023 Jul 01 04:00:00 AM","Saturday","4","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","4.61664","10.41016843419","1"
"7","2023 Jul 01 08:00:00 PM","Saturday","20","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","6.08334","7.90026531478","4"
"7","2023 Jul 01 09:00:00 PM","Saturday","21","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","6.100008","7.87868206665","4"
"7","2023 Jul 01 04:00:00 AM","Saturday","4","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","2.55","9.85882352941","1"
"7","2023 Jul 01 09:00:00 PM","Saturday","21","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","3.522222","7.13754393536","3"
"7","2023 Jul 01 07:00:00 PM","Saturday","19","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","3.980562","6.31569427417","6"
"7","2023 Jul 01 01:00:00 PM","Saturday","13","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.419","3.969438","6.33338707727","6"
"7","2023 Jul 01 03:00:00 AM","Saturday","3","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","7.23336","6.64421513653","1"
"7","2023 Jul 01 06:00:00 PM","Saturday","18","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","6.376668","7.53685153438","5"
"7","2023 Jul 01 05:00:00 AM","Saturday","5","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","5.43333","8.84540419963","2"
"7","2023 Jul 01 06:00:00 AM","Saturday","6","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.801","6.33888","7.58178100863","3"
"7","2023 Jul 01 03:00:00 PM","Sunday","15","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","5.8971","5.97242448318","23"
"7","2023 Jul 01 08:00:00 AM","Sunday","8","BX42","W","Local","31","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","8.547624","6.07888410059","14"
"7","2023 Jul 01 10:00:00 PM","Sunday","22","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","6.539748","7.41313177293","13"
"7","2023 Jul 01 05:00:00 PM","Sunday","17","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","10.619988","4.89266089566","5"
"7","2023 Jul 01 10:00:00 PM","Sunday","22","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","8.996298","5.77570779098","9"
"7","2023 Jul 01 09:00:00 PM","Sunday","21","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.426","3.424356","7.46417519382","13"
"7","2023 Jul 01 01:00:00 PM","Sunday","13","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","10.983336","4.73080424886","9"
"7","2023 Jul 01 09:00:00 PM","Sunday","21","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","10.057578","5.16625458474","11"
"7","2023 Jul 01 07:00:00 PM","Sunday","19","BX42","W","Local","31","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","9.88125","5.25844402277","8"
"7","2023 Jul 01 12:00:00 PM","Sunday","12","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","6.698334","7.23762057849","20"
"7","2023 Jul 01 12:00:00 AM","Sunday","0","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","8.470008","6.13458688587","5"
"7","2023 Jul 01 07:00:00 PM","Sunday","19","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","5.240352","6.72092580406","19"
"7","2023 Jul 01 04:00:00 PM","Sunday","16","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","6.560412","7.38977922501","24"
"7","2023 Jul 01 08:00:00 PM","Sunday","20","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","10.366662","5.01222187281","6"
"7","2023 Jul 01 08:00:00 PM","Sunday","20","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","5.074512","6.94057079744","17"
"7","2023 Jul 01 08:00:00 PM","Sunday","20","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.426","3.794046","6.73686683731","14"
"7","2023 Jul 01 06:00:00 PM","Sunday","18","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","10.165386","5.11146424518","13"
"7","2023 Jul 01 08:00:00 AM","Sunday","8","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.426","3.370002","7.58456523171","10"
"7","2023 Jul 01 08:00:00 PM","Sunday","20","BX42","W","Local","31","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","10.027272","5.18186857332","11"
"7","2023 Jul 01 01:00:00 AM","Sunday","1","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","5.43666","8.91723962874","5"
"7","2023 Jul 01 06:00:00 PM","Sunday","18","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","6.904632","7.02137551179","18"
"7","2023 Jul 01 05:00:00 AM","Sunday","5","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","3.976668","8.85666090305","5"
"7","2023 Jul 01 02:00:00 AM","Sunday","2","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","6.223806","7.78944266097","7"
"7","2023 Jul 01 11:00:00 AM","Sunday","11","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","9.92262","5.23652019326","14"
"7","2023 Jul 01 12:00:00 AM","Sunday","0","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","4.033332","8.73223140496","27"
"7","2023 Jul 01 10:00:00 AM","Sunday","10","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","6.596298","5.33935961037","18"
"7","2023 Jul 01 05:00:00 AM","Sunday","5","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.426","2.469696","10.34944277328","11"
"7","2023 Jul 01 11:00:00 PM","Sunday","23","BX42","W","Local","31","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","8.46","6.14184397163","5"
"7","2023 Jul 01 12:00:00 PM","Sunday","12","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.426","3.908334","6.53987003997","22"
"7","2023 Jul 01 06:00:00 AM","Sunday","6","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","5.988336","8.0957381149","10"
"7","2023 Jul 01 01:00:00 AM","Sunday","1","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","7.053324","7.36673942669","5"
"7","2023 Jul 01 12:00:00 PM","Sunday","12","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","9.916662","5.23966633127","10"
"7","2023 Jul 01 04:00:00 PM","Sunday","16","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","9.860718","5.26939361988","14"
"7","2023 Jul 01 07:00:00 PM","Sunday","19","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","12.478206","4.16406058416","13"
"7","2023 Jul 01 01:00:00 AM","Sunday","1","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","4.204542","8.37665227098","11"
"7","2023 Jul 01 09:00:00 PM","Sunday","21","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","5.227452","6.73750988278","17"
"7","2023 Jul 01 05:00:00 AM","Sunday","5","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","6.846672","7.5890885382","10"
"7","2023 Jul 01 09:00:00 AM","Sunday","9","BX42","W","Local","31","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","10.573332","4.91425030445","10"
"7","2023 Jul 01 04:00:00 AM","Sunday","4","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.426","2.57919","9.9100880509","4"
"7","2023 Jul 01 11:00:00 PM","Sunday","23","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.426","3.452562","7.40319896264","13"
"7","2023 Jul 01 12:00:00 PM","Sunday","12","BX42","W","Local","31","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","9.865278","5.26695910656","12"
"7","2023 Jul 01 03:00:00 PM","Sunday","15","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.426","3.513096","7.27563735022","28"
"7","2023 Jul 01 11:00:00 AM","Sunday","11","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","6.69231","7.24413793103","13"
"7","2023 Jul 01 09:00:00 PM","Sunday","21","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","6.284616","7.714073999","13"
"7","2023 Jul 01 06:00:00 AM","Sunday","6","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.426","3.491664","7.32028989035","12"
"7","2023 Jul 01 09:00:00 AM","Sunday","9","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","9.269046","5.6057533413","14"
"7","2023 Jul 01 05:00:00 PM","Sunday","17","BX42","W","Local","31","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","10.188894","5.09967062174","9"
"7","2023 Jul 01 10:00:00 AM","Sunday","10","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","6.325548","7.66415810931","15"
"7","2023 Jul 01 03:00:00 PM","Sunday","15","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","6.938406","6.98719640624","23"
"7","2023 Jul 01 03:00:00 AM","Sunday","3","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","7.503324","6.92493087064","5"
"7","2023 Jul 01 02:00:00 AM","Sunday","2","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","3.843336","9.16391384984","5"
"7","2023 Jul 01 04:00:00 PM","Sunday","16","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","6.05397","5.81767143064","21"
"7","2023 Jul 01 07:00:00 PM","Sunday","19","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.426","3.42417","7.4645891979","20"
"7","2023 Jul 01 07:00:00 AM","Sunday","7","BX42","W","Local","31","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","8.515002","6.10217120325","10"
"7","2023 Jul 01 10:00:00 AM","Sunday","10","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","9.203328","5.64578378604","10"
"7","2023 Jul 01 06:00:00 AM","Sunday","6","BX40","W","Local","29","103894","E 180 ST/SOUTHERN BL","40.846279","-73.884882","102811","WEBSTER AV/E 180 ST","40.851308","-73.898827","0.866","7.573086","6.86114082159","13"
"7","2023 Jul 01 12:00:00 PM","Sunday","12","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","5.07843","6.93521181967","17"
"7","2023 Jul 01 02:00:00 PM","Sunday","14","BX11","W","Local","9","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","100762","CLAREMONT PKY/CROTONA PARK E","40.835389","-73.895119","0.426","4.133334","6.18387061153","28"
"7","2023 Jul 01 09:00:00 AM","Sunday","9","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","6.757146","7.17779975099","14"
"7","2023 Jul 01 06:00:00 PM","Sunday","18","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","6.21666","5.66541913968","22"
"7","2023 Jul 01 02:00:00 PM","Sunday","14","BX41","S","Local","6","102946","WEBSTER AV/BEDFORD PK BL","40.867","-73.884156","104561","WEBSTER AV/EAST FORDHAM RD","40.861522","-73.891617","0.587","5.80965","6.06232898231","19"
"7","2023 Jul 01 08:00:00 AM","Sunday","8","BX21","S","Local","20","101455","BOSTON RD/SOUTHERN BL","40.837129","-73.888349","101459","BOSTON RD/E 169 ST","40.830926","-73.900787","0.808","6.110706","7.93641887684","14"
